;;;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year
Prince Edward Island;April;a;7;17;7;0;12;0;0;2;1;2;;0;2;2;1;8;10;4;0;3;1;2;2;4;;;5;0;;;;;;
Prince Edward Island;May;a;13;16;14;26;3;11;0;20;14;13;;7;13;7;14;1;13;4;0;5;3;1;3;1;1;;2;0;;;;;;
Prince Edward Island;June;a;8;8;3;2;3;2;0;7;2;3;;3;0;0;3;1;2;0;0;0;0;0;1;1;2;;0;0;;;;;;
Prince Edward Island;July;a;6;3;0;0;4;3;0;2;3;6;;6;6;0;0;0;0;0;4;0;0;0;1;1;;;0;0;;;;;;
Prince Edward Island;August;a;1;2;0;0;7;7;0;2;6;0;;13;4;1;1;1;1;0;0;0;0;0;1;1;;;0;0;;;;;;
Prince Edward Island;September;a;1;0;2;1;3;4;0;;;6;;6;3;2;0;0;0;0;0;0;0;1;0;0;1;;1;0;;;;;;
Prince Edward Island;October;a;0;0;1;0;4;2;0;1;1;2;;10;1;1;1;0;0;0;0;0;0;0;0;0;;;0;0;;;;;;
Prince Edward Island;November;a;2;0;0;0;7;0;0;;;1;;1;0;1;0;1;1;0;0;0;0;0;0;0;;;0;0;;;;;;
Prince Edward Island;December;a;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;0;0;0;0;0;0;0;0;;;0;0;;;;;;
Prince Edward Island;Unspecified;a;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;5;0;4;;;;;;
Prince Edward Island;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8
Quebec;February;a;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;
Quebec;March;a;1;1;;;;9;;;;;1;;1;;;;1;;;1;11;;14;;;;1;;;;2;1;;
Quebec;April;a;59;64;44;32;15;33;5;21;115;92;80;98;53;39;32;104;92;37;33;105;108;4;113;64;14;29;88;25;12;3;81;115;37;
Quebec;May;a;214;220;405;188;218;139;163;63;279;311;100;296;128;254;82;259;106;271;77;94;251;63;181;164;57;213;124;33;190;54;277;165;219;
Quebec;June;a;139;408;180;98;139;470;706;436;112;197;74;127;84;193;77;160;256;319;36;195;154;75;94;89;72;46;119;78;124;59;174;162;21;
