Month,Year,Number_fires,Lag_1,Lag_2,Lag_3,RollMean_3,RollMean_6,RollMean_12,RollStd_3,RollStd_6,RollStd_12,RollSum_3,RollSum_6,RollSum_12,Month_sin,Month_cos,Jurisdiction_raw,REG_Alberta,REG_British Columbia,REG_Manitoba,REG_New Brunswick,REG_Newfoundland and Labrador,REG_Northwest Territories,REG_Nova Scotia,REG_Ontario,REG_Prince Edward Island,REG_Quebec,REG_Saskatchewan,REG_Yukon,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),et0_fao_evapotranspiration (mm),temperature_2m_mean (°C)_lag1,relative_humidity_2m_mean (%)_lag1,et0_fao_evapotranspiration (mm)_lag1
3,2012,11,,,,,,,,,,,,,1.0,6.123233995736766e-17,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,-4.225806451612903,0.5419354838709679,75.44086021505376,57.29032258064516,1.0170967741935484,-12.083908045977012,78.35632183908046,0.4014942528735632
4,2012,51,11,,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,0.8466666666666666,6.511111111111111,64.8111111111111,43.63333333333333,2.044888888888889,-4.225806451612903,75.44086021505376,1.0170967741935484
5,2012,42,51,11,,,,,,,,,,,0.49999999999999994,-0.8660254037844387,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,8.65268817204301,14.68494623655914,62.107526881720425,38.763440860215056,3.2245161290322577,0.8466666666666666,64.8111111111111,2.044888888888889
6,2012,61,42,51,11,34.666666666666664,,,20.984120980716188,,,104.0,,,1.2246467991473532e-16,-1.0,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,15.24,20.37444444444445,71.58888888888889,46.86666666666667,3.4094444444444445,8.65268817204301,62.107526881720425,3.2245161290322577
7,2012,263,61,42,51,51.333333333333336,,,9.504384952922171,,,154.0,,,-0.4999999999999997,-0.8660254037844388,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,21.210752688172043,26.37311827956989,66.33333333333334,40.11827956989247,4.626129032258064,15.24,71.58888888888889,3.4094444444444445
8,2012,43,263,61,42,122.0,,,122.47856955402443,,,366.0,,,-0.8660254037844385,-0.5000000000000004,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,17.573118279569893,22.33978494623656,71.3763440860215,47.16129032258065,3.2089247311827958,21.210752688172043,66.33333333333334,4.626129032258064
9,2012,22,43,263,61,122.33333333333333,78.5,,122.1529096392441,91.92551332464782,,367.0,471.0,,-1.0,-1.8369701987210297e-16,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,11.168888888888889,15.921111111111111,71.95555555555555,49.81111111111111,2.1451111111111114,17.573118279569893,71.3763440860215,3.2089247311827958
10,2012,6,22,43,263,109.33333333333333,80.33333333333333,,133.49282128014727,90.40722684977497,,328.0,482.0,,-0.8660254037844386,0.5000000000000001,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,1.5978494623655917,4.253763440860215,82.2258064516129,65.10752688172043,0.6946236559139786,11.168888888888889,71.95555555555555,2.1451111111111114
4,2013,3,,,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,-3.66,1.6311111111111112,71.06666666666666,47.8,1.5571111111111111,-10.459139784946236,73.3978494623656,0.7734408602150538
5,2013,71,3,,,,,,,,,,,,0.49999999999999994,-0.8660254037844387,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,8.656989247311829,15.05268817204301,61.53763440860215,38.473118279569896,3.410322580645161,-3.66,71.06666666666666,1.5571111111111111
6,2013,106,71,3,,,,,,,,,,,1.2246467991473532e-16,-1.0,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,16.255555555555553,21.47,65.24444444444444,41.41111111111111,3.981333333333333,8.656989247311829,61.53763440860215,3.410322580645161
7,2013,169,106,71,3,60.0,,,52.373657500693994,,,180.0,,,-0.4999999999999997,-0.8660254037844388,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,18.2494623655914,22.95913978494624,66.58064516129032,41.74193548387097,4.061290322580645,16.255555555555553,65.24444444444444,3.981333333333333
8,2013,103,169,106,71,115.33333333333333,,,49.66219219218311,,,346.0,,,-0.8660254037844385,-0.5000000000000004,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,17.63978494623656,22.73548387096774,70.7741935483871,45.16129032258065,3.295913978494624,18.2494623655914,66.58064516129032,4.061290322580645
9,2013,43,103,169,106,126.0,,,37.269290307168454,,,378.0,,,-1.0,-1.8369701987210297e-16,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,13.853333333333332,19.15111111111111,71.55555555555556,50.86666666666667,2.432,17.63978494623656,70.7741935483871,3.295913978494624
11,2013,1,,43,103,,,,,,,,,,-0.5000000000000004,0.8660254037844384,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,-9.356666666666666,-5.8966666666666665,81.08888888888889,70.78888888888888,0.2828888888888888,2.978494623655914,76.65591397849462,0.9170967741935484
4,2014,5,,,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,-3.1711111111111108,2.151111111111111,70.03333333333333,47.04444444444445,1.6591111111111112,-14.22258064516129,70.87096774193549,0.6613978494623656
5,2014,41,5,,,,,,,,,,,,0.49999999999999994,-0.8660254037844387,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,7.5451612903225795,13.108602150537637,68.29032258064517,44.53763440860215,2.860752688172043,-3.1711111111111108,70.03333333333333,1.6591111111111112
6,2014,49,41,5,,,,,,,,,,,1.2246467991473532e-16,-1.0,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,14.36111111111111,19.636666666666667,69.67777777777778,45.06666666666667,3.436666666666667,7.5451612903225795,68.29032258064517,2.860752688172043
7,2014,45,49,41,5,31.666666666666668,,,23.437861108329262,,,95.0,,,-0.4999999999999997,-0.8660254037844388,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,17.884946236559138,22.90322580645161,69.3978494623656,44.053763440860216,3.889677419354839,14.36111111111111,69.67777777777778,3.436666666666667
8,2014,94,45,49,41,45.0,,,4.000000000000014,,,135.0,,,-0.8660254037844385,-0.5000000000000004,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,17.83978494623656,22.73978494623656,72.6236559139785,48.64516129032258,3.1789247311827955,17.884946236559138,69.3978494623656,3.889677419354839
9,2014,11,94,45,49,62.666666666666664,,,27.209067116190027,,,188.0,,,-1.0,-1.8369701987210297e-16,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,10.52,14.944444444444445,73.68888888888888,51.88888888888889,1.900555555555556,17.83978494623656,72.6236559139785,3.1789247311827955
10,2014,1,11,94,45,50.0,40.833333333333336,,41.72529209005013,31.88991481121683,,150.0,245.0,,-0.8660254037844386,0.5000000000000001,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,4.151612903225806,7.095698924731183,79.49462365591398,64.36559139784946,0.902258064516129,10.52,73.68888888888888,1.900555555555556
3,2015,2,,,,,,,,,,,,,1.0,6.123233995736766e-17,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,-8.098924731182796,-2.518279569892473,72.70967741935483,54.26881720430107,0.8989247311827957,-22.58452380952381,69.25,0.2584523809523809
4,2015,50,2,,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,-0.0366666666666667,5.854444444444444,65.21111111111111,42.766666666666666,1.999888888888889,-8.098924731182796,72.70967741935483,0.8989247311827957
