;;;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year
Northwest Territories;February;a;;;;;0;;;;;;;;;;;;;;;1,5;;;;;;;;;;;;;;
Northwest Territories;April;a;;;;;1;200;2;;;3,358;;;;;;;;;;20;;;;;1;;;;;1;;;;
Northwest Territories;May;a;55;8;33;7,421;27,941;69,032;2,014;0;14,036;7,802;4;;0;8;3;2,99;0;89,542;5;402;7;25;23,834;1,035;74,298;277,363;8;2,759;6,198;3,484;0;0;1;
Northwest Territories;June;a;3,838;14,136;9,548;98,078;1,057,680;2,491,438;281,702;5,539;306,511;412,387;61,75;36,086;6,485;8,382;42,926;5,7;4,71;181,029;102,178;484;172,406;239,016;120,15;449,003;2,183,180;394,77;108,583;106,137;3,232;6,054;19,696;36,671;316,273;
Northwest Territories;July;a;100,678;133,586;21,961;758,72;1,732,459;28,777;86,437;120,774;1,077,846;109,824;99,865;66,828;19,232;117,71;450,659;209,403;47,653;172,368;177,236;1,546;177,33;87,13;138,525;73,233;1,029,658;26,182;142,765;823,763;8,168;94,783;1,227;153,543;202,716;
Northwest Territories;August;a;46;77,736;5,201;66;203,214;253,904;1,391;205;60,567;18,643;16,218;13,847;1,373;1,572;15,479;37;8,914;2,191;29,37;24;1,114;3,49;21,305;31,788;134,177;20,445;4,168;98,922;4,557;845;216;7,275;82,108;
Northwest Territories;September;a;1;1;206;2;6,013;15;;13;1;9,021;;1;;150;8,282;2;121;;;0;70;24;722;1;;;;1,496;21;;;;2,918;
Northwest Territories;October;a;;;;;7;0;;;;;;;;;7;0;0;;;;;;;;;;;;;0;;;15;
Northwest Territories;November;a;;;;;0;0;;;;;;;;;1;;;;;;;;;;;3,347;;;0;0;;;1;
Northwest Territories;December;a;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
Northwest Territories;Unspecified;a;;;;;;;;;;;;;;;;;;;;6,359;;;;;;;;;;;;63;;
Northwest Territories;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,163,438
Nova Scotia;January;a;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;
Nova Scotia;March;a;104;134;;;0;62;324;2;22;77;3;0;4;0;;12;1,562;60;7;;253;18;82;2;0;;2;;23;25;5;3;;
Nova Scotia;April;a;65;285;93;177;72;81;155;56;155;1,366;7;71;40;190;27;433;414;319;279;857;137;124;227;145;136;0;269;572;99;18;89;49;31;
Nova Scotia;May;a;263;465;425;152;19;205;95;337;108;74;236;160;124;1,029;181;9;66;287;71;24;37;4;26;158;384;533;59;1;30;47;531;119;3,284;
Nova Scotia;June;a;574;242;615;8;10;31;60;10;23;150;210;5;15;7;23;21;;5;2,335;;5;0;4;0;13;1;26;0;33;16;15;26;40;
Nova Scotia;July;a;27;647;10;3;15;4;0;100;12;53;2;17;6;20;1;1;;18;6;1;;2;19;1;27;12;16;0;5;2;2;0;6;
Nova Scotia;August;a;29;3;9;14;11;14;3;15;40;2;4;190;21;3;1;15;4;;;;;0;5;1;2;1;429;;3;28;51;0;2;
Nova Scotia;September;a;5;;2;13;8;7;1;2;0;1;3;21;3;3;1;4;;;;1;;3;2;0;3;3;5;;6;1;0;0;12;
Nova Scotia;October;a;2;0;5;0;22;1;1;43;36;2;24;63;;4;55;;;2;1;;;;;;0;;0;;;0;3;;8;
Nova Scotia;November;a;0;;;;87;0;;;;98;0;2;0;;0;;;;1;;6;;;;;;;;;;;;;
Nova Scotia;Unspecified;a;;;;;;;;;;;;;;;;;;;0;33;;;;;;;;;;;;;;
Nova Scotia;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,093
Ontario;January;a;;;;;;;;;;;;1;;69;;;0;;;1;;;0;;;;;;;;;;;
Ontario;February;a;;;;;;;;;;1;0;;;29;;;;0;;;;;;;;;;0;;;;;;
Ontario;March;a;188;19;1;532;1;310;6;;731;33;99;2;6;92;;;100;3;;;569;;56;;0;117;79;242;2;1;4;92;1;
Ontario;April;a;684;1,085;121;352;667;560;29;239;27,66;73,825;604;380;53;412;1,286;197;170;247;53;66;329;27;296;45;126;374;33;26;144;98;37;682;9;
Ontario;May;a;5,915;123,712;3,872;7,675;910;56,939;1,038;5,005;24,542;218,563;247;2,536;1,928;956;32;1,472;552;33,394;49;173;10,97;1,444;48,578;413;275;2,482;81,166;29;4,043;3,99;297;176,41;2,429;
Ontario;June;a;2,119;37,068;171,294;95,769;78,312;332,497;424,614;20,649;34,159;14,236;452;3,055;52,621;308,521;57;14,071;11,462;2,518;281;20,402;1,456;160,162;4,201;23,874;3,153;33,902;323;20,646;77,069;256,939;2,276;313,089;18;
Ontario;July;a;131,454;74,603;91;72;3,518;33,676;20,414;12,247;69,19;298;4,673;4,299;125,648;4,481;93;11,03;20,589;4,1;26;14;1,261;469,316;96,517;26,634;1,945;2,46;1,37;73,383;166,056;8,539;3,977;291,556;25;
Ontario;August;a;41,512;82,191;606;237;116;188,432;2,596;414;1,678;21,242;64;499;1,424;4,372;132;15,461;56;370;900;3;206;3,436;214;101;191;79;170;17,507;18,207;155;8,89;2,736;94;
Ontario;September;a;60;46;4;3;5;52;114;36;89;128;20;87;113;75;94;107;61,103;17;4;32;2;1,311;3,18;23;381;3,318;5;604;176;3;2;3;4;
Ontario;October;a;22;21;5;3;68;96;190;29;109;0;511;4;1;7;23;13;8;3;4;2;43;278;2;1;301;2;3,032;493;;0;1;0;2;
Ontario;November;a;1,661;67;;10;8;1;;0;15;1;90;2;0;63;;0;4;0;0;;0;1;0;;;;31;;;;;;45;
Ontario;December;a;;0;;12;;;;;0;;;;;39;;;;;;;;0;;;;0;;;0;;;;;
Ontario;Unspecified;a;;;;;;;0;0;;;20;;450;;;;0;25;100;1;;0;;;;;;;;;;;;
Ontario;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;441,474
Parks Canada;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,014,742
Prince Edward Island;January;a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prince Edward Island;February;a;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
Prince Edward Island;March;a;;11;;;;;;;;1;;;;;;;3;;;;;;;;;;;;;;;;;
Prince Edward Island;April;a;36;62;24;;11;;;1;8;2;;;1;5;;42;8;1;;1;;3;1;8;;;32;;;;;;;
Prince Edward Island;May;a;50;36;16;82;1;12;;66;57;43;;17;129;6;14;;34;18;;2;5;2;4;67;1;;1;;;;;;;
Prince Edward Island;June;a;11;8;1;2;1;14;;36;7;4;;4;;;1;;4;;1;;;;1;1;1;;;;;;;;;
Prince Edward Island;July;a;5;1;;;1;2;;4;1;19;;2;2;;;;;;3;;;;5;1;;;;;;;;;;
Prince Edward Island;August;a;;1;;;2;5;;;2;;;3;;;;1;;;;;;;1;4;;;;;;;;;;
Prince Edward Island;September;a;;;;3;3;3;;;;7;;;;1;;;;;;;;1;;;1;;;;;;;;;
Prince Edward Island;October;a;;;2;;1;;;;1;1;;3;;;;;;;;;;;;;;;;;;;;;;
Prince Edward Island;November;a;;;;;2;;;;;;;;;;;6;2;;1;;;;;;;;;;;;;;;
Prince Edward Island;December;a;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Prince Edward Island;Unspecified;a;;;;;;;;;1;;;;;;;;;;;;;;;;;3;;7;;;;;;
Prince Edward Island;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8
Quebec;February;a;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;
Quebec;March;a;;;;;;7;;;;;;;;;;;0;;;0;11;;10;;;;0;;;;;;;
Quebec;April;a;57;94;35;26;66;84;4;27;138;190;79;155;37;44;36;115;65;37;59;103;91;4;102;31;33;743;35;11;13;0;49;249;28;
Quebec;May;a;5,705;1,416;5,559;226;1,062;364;385;38;27,627;8,657;183;5,124;457;8,064;72;576,57;24,972;83,739;46;186;206,977;813;49,481;171;17,594;214;645;313;210;32;525;1,804;252;
Quebec;June;a;2,917;394,185;6,759;124,308;114,686;451,241;438,669;385,457;277,909;87,918;106;7,769;140,534;46,096;493;74,759;102,037;258,704;1,168;91,587;107,651;6,882;13,071;1,517,967;32,68;2,681;3,981;37,009;63,535;5,021;51,692;10,665;29,283;
Quebec;July;a;51,866;9,733;1,23;621;68;47,192;192,047;7,419;112,255;244;38,314;19,323;872,552;1,858;2,309;146,333;9,226;50;139;2,042;90;4,249;1,338;354,653;12,757;1,878;29,032;930;22,521;4,584;7,339;36,797;77;
Quebec;August;a;22,719;32,89;13,518;3,05;5;228,798;60,464;64;218;295;482;685;50;32,15;116;827;7;120;66;6;79;136;26;9;796;600;234;121;31;55;383;179;7;
Quebec;September;a;39;10;10;0;25;22;14;0;9;442;13;5;120;30;20;1,536;12;34;0;45;8;31;10;6;11;35;2;32;5;2;4;3;6;
Quebec;October;a;40;4;0;2;122;16;6;74;150;;8;32;;5;13;1;34;30;2;;1;281;6;5;23;0;4;30;1;1;0;9;11;
Quebec;November;a;;1;0;2;7;3;0;;1;0;23;;;;;0;;2;2;3;7;3;1;;9;7;;;;;8;2;51;
Quebec;December;a;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;
Quebec;Unspecified;a;;;;;;;;;;;;;;;;;;;115;29;;;;;;;;;;;;;;
Quebec;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,322,888
Saskatchewan;January;a;;0;;0;0;;0;;;;0;1;1;;;;11,974;;36;0;98;;;;;;;;;;;;;
Saskatchewan;February;a;;;;0;;;0;;;;;0;0;;20;;57,922;;;;;;;;;;;;;;;;;
Saskatchewan;March;a;0;1;2;1,01;0;;;;;1;13;0;1;;30;;273,638;;;;4;;65;;;0;;0;;;0;55;0;
Saskatchewan;April;a;125;4,438;664;6,353;219;85;9;70;5,32;803;1,475;23,908;663;665;325;568;88,64;400;1,045;399;1,962;107;1,521;4,74;2;2,182;2,627;14;485;298;93;1,449;8;
Saskatchewan;May;a;689;883;5,249;352,914;1,74;1,125,859;526;1,345;207,489;24,795;2,232;12,985;156,667;10,332;316;3,864;1,726;8,769;13,014;5,341;16,587;26,007;101,511;17,557;17,656;293,204;4,641;1,005;101,329;1,096;41,953;9,123;507;
Saskatchewan;June;a;17,43;714;48,405;179,581;585,283;518,604;5,253;569;169,808;17,384;74,53;146,381;689,217;22,177;6,55;40,424;405,621;126,234;773,256;31,393;1,341,502;272,115;4,904;19,284;112,073;1,326,902;228,398;6;56,328;1,822;794;147,92;121,759;
Saskatchewan;July;a;36,263;43,178;26,474;68,321;175,084;4,13;6,884;1,197;203,642;134,075;57,317;7,519;35,931;41,837;246,201;168,589;36,154;76,049;314,687;465;338,652;18,288;117,399;277,751;119,892;132,678;19,85;39,555;2,937;44,928;9;765,466;109,427;
Saskatchewan;August;a;161,417;148,441;16,697;3;64,365;100;312;686;458,016;3,716;5,762;11,587;108;49,249;4,634;1,14;320,23;1,472;27,878;10;36,532;33;3,333;48,43;95,322;2,267;137;358,419;31,46;8;43;13,933;31,914;
Saskatchewan;September;a;79;24;37;16;19,313;11;1;9;397;0;25;1,094;28;1,293;53;81;12,482;4;40;25;;27,429;207;1,997;263;112;138;513;10;0;59;17,694;1,766;
Saskatchewan;October;a;52;493;229;0;14;1;1;0;25;14;69;1,659;40;537;7;253;4;144;290;;0;108;16;0;0;11,683;;285;183;0;1;638;234;
Saskatchewan;November;a;;3;0;0;;19;;;;32;;;;;3;;38;;;0;;0;0;;;0;;;;0;1;125;;
Saskatchewan;December;a;;0;;;;0;;;1;;;;;;;;6;;;;;;;;;;;;;0;;0;;
Saskatchewan;Unspecified;a;;;;;;;;;;;0;;1;;;;;;76;6,175;;;;;;;;;;;;;;
Saskatchewan;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,850,829
Yukon;January;a;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;
Yukon;March;a;;;;;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yukon;April;a;0;6;;0;0;318;0;;6;0;;0;;1;;0;1;1;;;;0;;;0;;0;1;2,3;0;;0;;
