temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),Year,Month,Jurisdiction_raw
-0.48,3.512222222222222,75.2,56.72222222222222,2.54,4.288888888888889,14.885555555555555,20.29111111111111,184.3111111111111,1.6957777777777778,1997,4,New Brunswick
6.811827956989247,11.33010752688172,76.91397849462366,54.98924731182796,4.63010752688172,7.204301075268818,14.3,20.640860215053763,207.6129032258065,2.303010752688172,1997,5,New Brunswick
13.988888888888887,18.724444444444444,74.51111111111112,52.51111111111111,4.434444444444444,4.0,11.395555555555555,16.85111111111111,181.82222222222225,3.568111111111111,1997,6,New Brunswick
17.8,22.1494623655914,74.09677419354838,53.064516129032256,2.6580645161290324,2.774193548387097,12.633333333333333,17.703225806451613,232.2043010752688,3.863333333333333,1997,7,New Brunswick
16.287096774193547,20.19677419354839,77.53763440860214,56.61290322580645,2.4322580645161294,3.5376344086021505,10.75268817204301,15.617204301075269,179.27956989247312,3.057849462365592,1997,8,New Brunswick
12.738888888888887,16.593333333333334,79.06666666666666,60.54444444444445,2.73,3.933333333333333,13.595555555555556,18.79777777777777,212.2555555555556,2.0442222222222224,1997,9,New Brunswick
5.3462365591397845,8.811827956989248,74.89247311827957,57.935483870967744,1.5989247311827957,2.3225806451612905,13.198924731182796,18.226881720430107,225.0752688172043,1.346021505376344,1997,10,New Brunswick
-0.781111111111111,2.237777777777778,74.41111111111111,60.43333333333333,1.3388888888888888,3.2,14.46111111111111,19.995555555555555,211.74444444444447,0.7335555555555556,1997,11,New Brunswick
-7.513978494623656,-3.49247311827957,81.6236559139785,69.91397849462366,2.7279569892473123,3.419354838709677,14.548387096774194,19.63010752688172,255.93548387096772,0.3587096774193548,1997,12,New Brunswick
-9.3,-5.120430107526881,78.38709677419355,66.24731182795698,4.202150537634408,5.881720430107527,15.811827956989248,21.31505376344086,184.6129032258065,0.3672043010752688,1998,1,New Brunswick
-6.6571428571428575,-2.3416666666666663,80.5,64.97619047619047,3.3285714285714283,3.773809523809524,13.05952380952381,17.833333333333332,206.2142857142857,0.5964285714285714,1998,2,New Brunswick
-3.2913978494623657,0.7946236559139785,79.89247311827957,62.87096774193548,4.170967741935484,6.021505376344086,14.108602150537637,20.03763440860215,199.5483870967742,0.9412903225806452,1998,3,New Brunswick
1.9611111111111112,5.938888888888888,76.06666666666666,55.53333333333333,3.843333333333333,5.755555555555556,14.442222222222222,19.585555555555555,196.37777777777777,1.8403333333333332,1998,4,New Brunswick
