Month,Year,Number_fires,Lag_1,Lag_2,Lag_3,RollMean_3,RollStd_3,RollSum_3,is_summer,Month_sin,Month_cos,Jurisdiction_raw,REG_Alberta,REG_British Columbia,REG_Manitoba,REG_New Brunswick,REG_Newfoundland and Labrador,REG_Northwest Territories,REG_Nova Scotia,REG_Ontario,REG_Prince Edward Island,REG_Quebec,REG_Saskatchewan,REG_Yukon,temperature_2m_mean (°C)_lag1,relative_humidity_2m_mean (%)_lag1,temperature_2m_max (°C)_lag1,relative_humidity_2m_min (%)_lag1,et0_fao_evapotranspiration (mm)_lag1,summer_temp,summer_dryness,summer_lag,pre_summer_heat,spring_dryness
10,2018,45,52,766,684,500.6666666666667,390.71387655589257,1502.0,0,-0.8660254037844386,0.5000000000000001,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,8.874444444444444,73.42222222222222,14.29,47.36666666666667,1.8591111111111112,0.0,0.0,0,71.56609318996414,12.493924731182792
11,2018,2,45,52,766,287.6666666666667,414.2636036792677,863.0,0,-0.5000000000000004,0.8660254037844384,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,4.919354838709677,72.30107526881721,9.96774193548387,50.354838709677416,1.1586021505376345,0.0,0.0,0,65.10720430107526,10.428035842293905
12,2018,2,2,45,52,33.0,27.073972741365157,99.0,0,-2.4492935982947064e-16,1.0,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,0.0433333333333333,81.71111111111112,3.165555555555556,66.5,0.4301111111111111,0.0,0.0,0,49.67279569892471,7.043949820788528
2,2019,1,,2,2,,,,0,0.8660254037844386,0.5000000000000001,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,-3.852688172043011,78.81720430107528,-0.0688172043010752,65.3225806451613,0.3710752688172043,-0.0,0.0,,12.86878136200715,1.9605412186379902
3,2019,27,1,,2,,,,0,1.0,6.123233995736766e-17,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,-13.98809523809524,71.97619047619047,-8.54047619047619,55.38095238095239,0.4626190476190476,-0.0,0.0,0,2.8322222222222053,1.17301433691756
4,2019,87,27,1,,,,,0,0.8660254037844387,-0.4999999999999998,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,-1.3989247311827957,66.97849462365592,5.56236559139785,43.24731182795699,1.5146236559139783,0.0,0.0,0,-8.873809523809541,1.2055222734254967
5,2019,135,87,27,1,38.333333333333336,44.105933085396956,115.0,0,0.49999999999999994,-0.8660254037844387,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,4.857777777777778,60.43333333333333,11.204444444444444,33.21111111111112,2.387777777777778,0.0,0.0,0,-3.0469278033794325,2.3483179723502277
6,2019,194,135,87,27,83.0,54.11099703387616,249.0,1,1.2246467991473532e-16,-1.0,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,12.453763440860214,56.66666666666667,19.08709677419355,32.0,3.670860215053764,19.08709677419355,0.11123818833496255,135,8.226333845366089,4.365020481310801
7,2019,155,194,135,87,138.66666666666666,53.59415391004372,416.0,1,-0.4999999999999997,-0.8660254037844388,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,14.644444444444444,61.43333333333333,20.936666666666667,34.044444444444444,3.971111111111111,20.936666666666667,0.11331642358909322,194,35.853906810035824,7.573261648745518
8,2019,126,155,194,135,161.33333333333334,30.005555041249313,484.0,1,-0.8660254037844385,-0.5000000000000004,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,16.298924731182794,69.41935483870968,22.376344086021504,41.344086021505376,3.726021505376344,22.376344086021504,0.08799390553580498,155,51.22820788530464,10.02974910394265
