Jurisdiction,Month,Year,Number_fires,Lag_1,Lag_2,Lag_3,RollMean_3,RollStd_3,RollSum_3,is_summer,Month_sin,Month_cos,temperature_2m_mean (°C)_lag1,relative_humidity_2m_mean (%)_lag1,relative_humidity_2m_min (%)_lag1,et0_fao_evapotranspiration (mm)_lag1,temperature_2m_max (°C)_lag1
British Columbia,7,2004,630,637,132,178,315.6666666666667,279.23168397109475,947.0,1,-0.4999999999999997,-0.8660254037844388,10.270967741935484,59.86021505376343,34.27956989247312,3.356989247311828,16.239784946236558
British Columbia,8,2004,719,630,637,132,466.3333333333333,289.562313385795,1399.0,1,-0.8660254037844385,-0.5000000000000004,16.534444444444443,57.78888888888888,32.84444444444445,4.4784444444444444,22.82888888888889
British Columbia,9,2004,38,719,630,637,662.0,49.48737212663478,1986.0,0,-1.0,-1.8369701987210297e-16,18.81935483870968,60.0752688172043,35.0752688172043,4.5041935483870965,24.90430107526881
British Columbia,10,2004,36,38,719,630,462.3333333333333,370.16797988660954,1387.0,0,-0.8660254037844386,0.5000000000000001,17.81505376344086,66.13978494623656,39.64516129032258,3.41,23.59032258064516
British Columbia,11,2004,2,36,38,719,264.3333333333333,393.7541534172476,793.0,0,-0.5000000000000004,0.8660254037844384,10.183333333333334,74.57777777777778,50.55555555555556,1.896777777777778,15.027777777777777
British Columbia,12,2004,1,2,36,38,25.333333333333332,20.23198787399283,76.0,0,-2.4492935982947064e-16,1.0,4.910752688172043,75.49462365591398,54.215053763440864,1.192688172043011,9.655913978494622
British Columbia,1,2005,2,1,2,36,13.0,19.924858845172803,39.0,0,0.49999999999999994,0.8660254037844387,-0.1355555555555555,80.27777777777779,65.32222222222222,0.4726666666666667,3.21
British Columbia,2,2005,9,2,1,2,1.6666666666666667,0.5773502692435133,5.0,0,0.8660254037844386,0.5000000000000001,-4.968817204301075,78.86021505376344,67.7741935483871,0.298494623655914,-1.156989247311828
British Columbia,3,2005,15,9,2,1,4.0,4.35889894354778,12.0,0,1.0,6.123233995736766e-17,-10.723655913978495,78.36559139784947,66.87096774193549,0.2653763440860215,-6.422580645161291
British Columbia,4,2005,116,15,9,2,8.666666666666666,6.5064070986524305,26.0,0,0.8660254037844387,-0.4999999999999998,-3.2214285714285715,65.70238095238095,48.36904761904761,0.8651190476190476,2.623809523809524
