latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.151142,-62.914032,0.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),precipitation_sum (mm),precipitation_hours (h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),wind_speed_10m_max (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),relative_humidity_2m_min (%)
1990-07-07,14.7,16.0,0.00,0.0,72,2.65,12.8,7.8,74,64
1990-07-08,14.9,17.9,0.10,1.0,330,4.26,16.8,11.1,73,62
1990-07-09,15.9,18.0,6.50,6.0,192,2.39,30.8,20.2,73,57
1990-07-10,18.5,22.7,1.40,4.0,231,3.42,24.8,19.2,85,64
1990-07-11,17.1,19.5,0.00,0.0,284,3.53,25.2,16.9,69,60
1990-07-12,16.7,19.5,0.00,0.0,286,4.06,17.7,13.6,71,61
1990-07-13,16.7,19.9,0.00,0.0,295,4.44,16.3,10.2,70,53
1990-07-14,18.7,23.0,0.00,0.0,243,5.42,28.8,19.8,64,47
1990-07-15,20.1,25.2,0.00,0.0,262,5.66,28.5,19.8,65,54
1990-07-16,20.8,27.2,0.00,0.0,148,4.42,20.0,14.4,74,56
1990-07-17,21.5,24.7,0.80,3.0,269,4.74,20.5,16.6,81,64
1990-07-18,21.2,25.1,0.00,0.0,261,4.98,17.0,12.5,73,58
1990-07-19,22.9,27.1,1.10,1.0,231,5.55,24.4,19.4,66,48
1990-07-20,21.5,25.3,0.20,1.0,253,4.67,26.4,19.2,70,49
1990-07-21,20.1,22.8,2.10,8.0,257,4.14,19.3,15.3,79,68
1990-07-22,19.6,22.8,0.00,0.0,83,3.93,9.0,4.6,82,66
1990-07-23,19.3,22.4,9.20,7.0,136,2.18,22.7,13.4,83,64
1990-07-24,22.4,26.9,2.70,9.0,204,3.60,24.6,19.4,87,71
1990-07-25,23.7,27.6,0.00,0.0,199,4.23,26.8,21.5,82,64
1990-07-26,22.1,23.9,6.30,9.0,220,2.47,22.7,17.8,88,81
1990-07-27,21.0,23.8,0.00,0.0,119,3.58,11.3,5.7,89,76
1990-07-28,20.3,23.8,0.00,0.0,39,3.79,9.4,6.6,85,67
1990-07-29,22.0,26.5,0.00,0.0,237,4.88,11.1,8.3,81,58
1990-07-30,22.9,26.9,0.00,0.0,201,4.93,12.5,8.3,77,61
1990-07-31,20.3,23.8,0.00,0.0,145,4.10,23.9,18.1,80,66
1990-08-01,19.8,21.1,10.70,12.0,97,1.69,22.3,19.2,91,85
1990-08-02,17.7,19.2,77.30,24.0,305,1.44,43.8,35.1,89,80
1990-08-03,18.9,20.8,4.80,5.0,278,4.16,30.6,20.4,71,61
1990-08-04,21.3,26.8,0.00,0.0,218,4.85,14.1,8.0,72,49
1990-08-05,22.6,27.0,0.00,0.0,167,5.02,13.7,8.4,71,55
1990-08-06,21.2,24.6,0.00,0.0,195,4.30,14.0,9.9,80,65
1990-08-07,21.1,24.3,0.00,0.0,184,4.60,14.0,8.6,78,66
1990-08-08,21.1,24.9,0.60,5.0,159,3.48,16.2,10.5,80,73
1990-08-09,22.3,25.1,0.90,5.0,217,3.48,19.9,15.9,84,69
1990-08-10,23.2,26.5,0.10,1.0,221,3.90,15.6,13.1,83,65
1990-08-11,23.3,26.9,0.40,4.0,194,3.57,21.2,16.9,82,61
1990-08-12,21.8,22.9,10.40,9.0,199,1.53,25.3,23.0,91,80
1990-08-13,21.6,24.7,0.00,0.0,244,3.83,17.1,13.7,86,66
1990-08-14,21.5,25.5,3.10,6.0,184,3.21,28.4,20.7,84,65
