Year,Month,Jurisdiction,Number_fires
1993,10,Quebec,4
1993,10,Saskatchewan,3
1993,10,Yukon,1
1993,11,Alberta,7
1993,11,British Columbia,10
1993,11,Manitoba,0
1993,11,New Brunswick,0
1993,11,Newfoundland and Labrador,0
1993,11,Northwest Territories,0
1993,11,Nova Scotia,0
1993,11,Ontario,4
1993,11,Prince Edward Island,0
1993,11,Quebec,1
1993,11,Saskatchewan,2
1993,11,Yukon,0
1993,12,Alberta,1
1993,12,British Columbia,0
1993,12,Manitoba,0
1993,12,New Brunswick,0
1993,12,Newfoundland and Labrador,0
1993,12,Northwest Territories,2
1993,12,Nova Scotia,0
1993,12,Ontario,2
1993,12,Prince Edward Island,0
1993,12,Quebec,0
1993,12,Saskatchewan,0
1993,12,Yukon,0
1994,1,Alberta,4
1994,1,British Columbia,6
1994,1,Manitoba,0
1994,1,New Brunswick,0
1994,1,Newfoundland and Labrador,0
1994,1,Northwest Territories,2
1994,1,Nova Scotia,0
1994,1,Ontario,0
1994,1,Prince Edward Island,0
1994,1,Quebec,0
1994,1,Saskatchewan,1
1994,1,Yukon,0
1994,2,Alberta,0
1994,2,British Columbia,2
1994,2,Manitoba,0
1994,2,New Brunswick,0
1994,2,Newfoundland and Labrador,0
1994,2,Northwest Territories,1
1994,2,Nova Scotia,0
1994,2,Ontario,0
1994,2,Prince Edward Island,0
1994,2,Quebec,0
1994,2,Saskatchewan,0
1994,2,Yukon,0
1994,3,Alberta,12
1994,3,British Columbia,66
1994,3,Manitoba,1
1994,3,New Brunswick,0
1994,3,Newfoundland and Labrador,0
1994,3,Northwest Territories,0
1994,3,Nova Scotia,1
1994,3,Ontario,4
1994,3,Prince Edward Island,0
1994,3,Quebec,0
1994,3,Saskatchewan,1
1994,3,Yukon,0
1994,4,Alberta,64
1994,4,British Columbia,142
1994,4,Manitoba,49
1994,4,New Brunswick,41
1994,4,Newfoundland and Labrador,3
1994,4,Northwest Territories,1
1994,4,Nova Scotia,63
1994,4,Ontario,222
1994,4,Prince Edward Island,12
1994,4,Quebec,15
1994,4,Saskatchewan,28
1994,4,Yukon,5
1994,5,Alberta,132
1994,5,British Columbia,212
1994,5,Manitoba,115
1994,5,New Brunswick,89
1994,5,Newfoundland and Labrador,15
1994,5,Northwest Territories,37
1994,5,Nova Scotia,33
1994,5,Ontario,266
1994,5,Prince Edward Island,3
1994,5,Quebec,218
1994,5,Saskatchewan,95
1994,5,Yukon,16
1994,6,Alberta,231
1994,6,British Columbia,172
1994,6,Manitoba,170
1994,6,New Brunswick,37
1994,6,Newfoundland and Labrador,35
1994,6,Northwest Territories,185
1994,6,Nova Scotia,28
1994,6,Ontario,412
1994,6,Prince Edward Island,3
1994,6,Quebec,139
1994,6,Saskatchewan,153
1994,6,Yukon,47
1994,7,Alberta,223
1994,7,British Columbia,1030
1994,7,Manitoba,82
1994,7,New Brunswick,48
1994,7,Newfoundland and Labrador,35
1994,7,Northwest Territories,326
1994,7,Nova Scotia,57
1994,7,Ontario,59
1994,7,Prince Edward Island,4
1994,7,Quebec,27
1994,7,Saskatchewan,74
1994,7,Yukon,113
1994,8,Alberta,118
1994,8,British Columbia,2118
1994,8,Manitoba,73
1994,8,New Brunswick,104
1994,8,Newfoundland and Labrador,35
1994,8,Northwest Territories,78
1994,8,Nova Scotia,23
1994,8,Ontario,55
1994,8,Prince Edward Island,7
1994,8,Quebec,30
1994,8,Saskatchewan,193
1994,8,Yukon,73
1994,9,Alberta,83
1994,9,British Columbia,238
1994,9,Manitoba,57
1994,9,New Brunswick,40
1994,9,Newfoundland and Labrador,5
1994,9,Northwest Territories,13
1994,9,Nova Scotia,22
1994,9,Ontario,27
1994,9,Prince Edward Island,3
1994,9,Quebec,17
1994,9,Saskatchewan,142
1994,9,Yukon,1
1994,10,Alberta,25
1994,10,British Columbia,70
1994,10,Manitoba,7
1994,10,New Brunswick,137
1994,10,Newfoundland and Labrador,1
1994,10,Northwest Territories,8
1994,10,Nova Scotia,22
1994,10,Ontario,27
1994,10,Prince Edward Island,4
1994,10,Quebec,46
1994,10,Saskatchewan,10
1994,10,Yukon,0
1994,11,Alberta,30
1994,11,British Columbia,1
1994,11,Manitoba,1
1994,11,New Brunswick,22
1994,11,Newfoundland and Labrador,0
1994,11,Northwest Territories,1
1994,11,Nova Scotia,14
1994,11,Ontario,7
1994,11,Prince Edward Island,7
1994,11,Quebec,7
1994,11,Saskatchewan,0
1994,11,Yukon,0
1994,12,Alberta,9
1994,12,British Columbia,0
1994,12,Manitoba,0
1994,12,New Brunswick,0
1994,12,Newfoundland and Labrador,0
1994,12,Northwest Territories,1
1994,12,Nova Scotia,0
1994,12,Ontario,0
1994,12,Prince Edward Island,0
1994,12,Quebec,0
1994,12,Saskatchewan,0
1994,12,Yukon,0
1995,1,Alberta,10
1995,1,British Columbia,5
1995,1,Manitoba,0
1995,1,New Brunswick,0
1995,1,Newfoundland and Labrador,0
1995,1,Northwest Territories,0
1995,1,Nova Scotia,0
1995,1,Ontario,0
1995,1,Prince Edward Island,0
1995,1,Quebec,0
1995,1,Saskatchewan,0
1995,1,Yukon,0
1995,2,Alberta,6
1995,2,British Columbia,5
1995,2,Manitoba,0
1995,2,New Brunswick,0
1995,2,Newfoundland and Labrador,0
1995,2,Northwest Territories,0
1995,2,Nova Scotia,0
1995,2,Ontario,0
1995,2,Prince Edward Island,0
1995,2,Quebec,0
1995,2,Saskatchewan,0
1995,2,Yukon,0
1995,3,Alberta,29
1995,3,British Columbia,61
1995,3,Manitoba,0
1995,3,New Brunswick,0
1995,3,Newfoundland and Labrador,0
1995,3,Northwest Territories,0
1995,3,Nova Scotia,28
1995,3,Ontario,137
1995,3,Prince Edward Island,0
1995,3,Quebec,9
1995,3,Saskatchewan,0
1995,3,Yukon,1
1995,4,Alberta,57
1995,4,British Columbia,181
1995,4,Manitoba,13
1995,4,New Brunswick,28
1995,4,Newfoundland and Labrador,3
1995,4,Northwest Territories,1
1995,4,Nova Scotia,80
1995,4,Ontario,128
1995,4,Prince Edward Island,0
1995,4,Quebec,33
1995,4,Saskatchewan,10
1995,4,Yukon,4
1995,5,Alberta,215
1995,5,British Columbia,316
1995,5,Manitoba,154
1995,5,New Brunswick,71
1995,5,Newfoundland and Labrador,23
1995,5,Northwest Territories,24
1995,5,Nova Scotia,145
1995,5,Ontario,230
1995,5,Prince Edward Island,11
1995,5,Quebec,139
1995,5,Saskatchewan,222
1995,5,Yukon,31
1995,6,Alberta,272
1995,6,British Columbia,281
1995,6,Manitoba,344
1995,6,New Brunswick,116
1995,6,Newfoundland and Labrador,20
1995,6,Northwest Territories,79
1995,6,Nova Scotia,49
1995,6,Ontario,900
1995,6,Prince Edward Island,2
1995,6,Quebec,470
1995,6,Saskatchewan,283
1995,6,Yukon,80
1995,7,Alberta,97
1995,7,British Columbia,277
1995,7,Manitoba,90
1995,7,New Brunswick,89
1995,7,Newfoundland and Labrador,14
1995,7,Northwest Territories,56
1995,7,Nova Scotia,26
1995,7,Ontario,150
1995,7,Prince Edward Island,3
1995,7,Quebec,170
1995,7,Saskatchewan,85
1995,7,Yukon,22
1995,8,Alberta,26
1995,8,British Columbia,90
1995,8,Manitoba,28
1995,8,New Brunswick,156
1995,8,Newfoundland and Labrador,23
1995,8,Northwest Territories,47
1995,8,Nova Scotia,36
1995,8,Ontario,442
1995,8,Prince Edward Island,7
1995,8,Quebec,367
1995,8,Saskatchewan,18
1995,8,Yukon,6
1995,9,Alberta,58
1995,9,British Columbia,238
1995,9,Manitoba,12
1995,9,New Brunswick,74
1995,9,Newfoundland and Labrador,3
1995,9,Northwest Territories,7
1995,9,Nova Scotia,37
1995,9,Ontario,125
1995,9,Prince Edward Island,4
1995,9,Quebec,53
1995,9,Saskatchewan,20
1995,9,Yukon,2
1995,10,Alberta,33
1995,10,British Columbia,15
1995,10,Manitoba,21
1995,10,New Brunswick,11
1995,10,Newfoundland and Labrador,0
1995,10,Northwest Territories,1
1995,10,Nova Scotia,4
1995,10,Ontario,36
1995,10,Prince Edward Island,2
1995,10,Quebec,23
1995,10,Saskatchewan,9
1995,10,Yukon,0
1995,11,Alberta,5
1995,11,British Columbia,5
1995,11,Manitoba,0
1995,11,New Brunswick,2
1995,11,Newfoundland and Labrador,0
1995,11,Northwest Territories,3
1995,11,Nova Scotia,2
1995,11,Ontario,2
1995,11,Prince Edward Island,0
1995,11,Quebec,1
1995,11,Saskatchewan,3
1995,11,Yukon,1
1995,12,Alberta,0
1995,12,British Columbia,0
1995,12,Manitoba,0
1995,12,New Brunswick,0
1995,12,Newfoundland and Labrador,0
1995,12,Northwest Territories,0
1995,12,Nova Scotia,0
1995,12,Ontario,0
1995,12,Prince Edward Island,0
1995,12,Quebec,0
1995,12,Saskatchewan,1
1995,12,Yukon,0
1996,1,Alberta,1
1996,1,British Columbia,5
1996,1,Manitoba,0
1996,1,New Brunswick,0
1996,1,Newfoundland and Labrador,0
1996,1,Northwest Territories,0
1996,1,Nova Scotia,0
1996,1,Ontario,0
1996,1,Prince Edward Island,0
1996,1,Quebec,0
1996,1,Saskatchewan,1
1996,1,Yukon,0
1996,2,Alberta,0
1996,2,British Columbia,3
1996,2,Manitoba,0
1996,2,New Brunswick,0
1996,2,Newfoundland and Labrador,0
1996,2,Northwest Territories,0
1996,2,Nova Scotia,0
1996,2,Ontario,0
1996,2,Prince Edward Island,0
1996,2,Quebec,0
1996,2,Saskatchewan,1
1996,2,Yukon,0
1996,3,Alberta,1
1996,3,British Columbia,31
1996,3,Manitoba,0
1996,3,New Brunswick,1
1996,3,Newfoundland and Labrador,0
1996,3,Northwest Territories,0
1996,3,Nova Scotia,55
1996,3,Ontario,7
1996,3,Prince Edward Island,0
1996,3,Quebec,0
1996,3,Saskatchewan,0
1996,3,Yukon,2
1996,4,Alberta,26
1996,4,British Columbia,60
1996,4,Manitoba,1
1996,4,New Brunswick,26
1996,4,Newfoundland and Labrador,13
1996,4,Northwest Territories,1
1996,4,Nova Scotia,65
1996,4,Ontario,30
1996,4,Prince Edward Island,0
1996,4,Quebec,5
1996,4,Saskatchewan,6
1996,4,Yukon,2
1996,5,Alberta,56
1996,5,British Columbia,82
1996,5,Manitoba,77
1996,5,New Brunswick,75
1996,5,Newfoundland and Labrador,23
1996,5,Northwest Territories,11
1996,5,Nova Scotia,66
1996,5,Ontario,241
1996,5,Prince Edward Island,0
1996,5,Quebec,163
1996,5,Saskatchewan,62
1996,5,Yukon,19
1996,6,Alberta,124
1996,6,British Columbia,155
1996,6,Manitoba,103
1996,6,New Brunswick,129
1996,6,Newfoundland and Labrador,12
1996,6,Northwest Territories,182
1996,6,Nova Scotia,45
1996,6,Ontario,570
1996,6,Prince Edward Island,0
1996,6,Quebec,706
1996,6,Saskatchewan,123
1996,6,Yukon,72
1996,7,Alberta,89
1996,7,British Columbia,452
1996,7,Manitoba,155
1996,7,New Brunswick,11
1996,7,Newfoundland and Labrador,4
1996,7,Northwest Territories,134
1996,7,Nova Scotia,9
1996,7,Ontario,198
1996,7,Prince Edward Island,0
1996,7,Quebec,55
1996,7,Saskatchewan,161
1996,7,Yukon,44
1996,8,Alberta,76
1996,8,British Columbia,489
1996,8,Manitoba,59
1996,8,New Brunswick,74
1996,8,Newfoundland and Labrador,48
1996,8,Northwest Territories,22
1996,8,Nova Scotia,20
1996,8,Ontario,144
1996,8,Prince Edward Island,0
1996,8,Quebec,209
1996,8,Saskatchewan,53
1996,8,Yukon,7
1996,9,Alberta,14
1996,9,British Columbia,64
1996,9,Manitoba,23
1996,9,New Brunswick,37
1996,9,Newfoundland and Labrador,9
1996,9,Northwest Territories,0
1996,9,Nova Scotia,7
1996,9,Ontario,73
1996,9,Prince Edward Island,0
1996,9,Quebec,92
1996,9,Saskatchewan,15
1996,9,Yukon,3
1996,10,Alberta,7
1996,10,British Columbia,16
1996,10,Manitoba,4
1996,10,New Brunswick,13
1996,10,Newfoundland and Labrador,2
1996,10,Northwest Territories,0
1996,10,Nova Scotia,3
1996,10,Ontario,11
1996,10,Prince Edward Island,0
1996,10,Quebec,19
1996,10,Saskatchewan,3
1996,10,Yukon,0
1996,11,Alberta,2
1996,11,British Columbia,1
1996,11,Manitoba,0
1996,11,New Brunswick,1
1996,11,Newfoundland and Labrador,0
1996,11,Northwest Territories,0
1996,11,Nova Scotia,0
1996,11,Ontario,0
1996,11,Prince Edward Island,0
