Year,Month,Jurisdiction,Number_fires
1994,5.0,Manitoba,115
1994,6.0,Manitoba,170
1994,7.0,Manitoba,82
1994,8.0,Manitoba,73
1994,9.0,Manitoba,57
1994,10.0,Manitoba,7
1994,11.0,Manitoba,1
1994,12.0,Manitoba,0
1995,1.0,Manitoba,0
1995,2.0,Manitoba,0
1995,3.0,Manitoba,0
1995,4.0,Manitoba,13
1995,5.0,Manitoba,154
1995,6.0,Manitoba,344
1995,7.0,Manitoba,90
1995,8.0,Manitoba,28
1995,9.0,Manitoba,12
1995,10.0,Manitoba,21
1995,11.0,Manitoba,0
1995,12.0,Manitoba,0
1996,1.0,Manitoba,0
1996,2.0,Manitoba,0
1996,3.0,Manitoba,0
1996,4.0,Manitoba,1
1996,5.0,Manitoba,77
1996,6.0,Manitoba,103
1996,7.0,Manitoba,155
1996,8.0,Manitoba,59
1996,9.0,Manitoba,23
1996,10.0,Manitoba,4
1996,11.0,Manitoba,0
1996,12.0,Manitoba,0
1997,1.0,Manitoba,0
1997,2.0,Manitoba,0
1997,3.0,Manitoba,0
1997,4.0,Manitoba,8
1997,5.0,Manitoba,83
1997,6.0,Manitoba,87
1997,7.0,Manitoba,102
1997,8.0,Manitoba,83
1997,9.0,Manitoba,8
1997,10.0,Manitoba,1
1997,11.0,Manitoba,0
1997,12.0,Manitoba,0
1998,1.0,Manitoba,0
1998,2.0,Manitoba,0
1998,3.0,Manitoba,0
1998,4.0,Manitoba,110
1998,5.0,Manitoba,51
1998,6.0,Manitoba,52
1998,7.0,Manitoba,136
1998,8.0,Manitoba,106
1998,9.0,Manitoba,50
1998,10.0,Manitoba,1
1998,11.0,Manitoba,1
1998,12.0,Manitoba,0
1999,1.0,Manitoba,2
1999,2.0,Manitoba,0
1999,3.0,Manitoba,0
1999,4.0,Manitoba,133
1999,5.0,Manitoba,104
1999,6.0,Manitoba,115
1999,7.0,Manitoba,125
1999,8.0,Manitoba,112
1999,9.0,Manitoba,17
1999,10.0,Manitoba,5
1999,11.0,Manitoba,0
1999,12.0,Manitoba,0
2000,1.0,Manitoba,0
2000,2.0,Manitoba,0
2000,3.0,Manitoba,1
2000,4.0,Manitoba,1
2000,5.0,Manitoba,1
2000,6.0,Manitoba,0
2000,7.0,Manitoba,0
2000,8.0,Manitoba,0
2000,9.0,Manitoba,0
2000,10.0,Manitoba,1
2000,11.0,Manitoba,0
2000,12.0,Manitoba,0
2001,1.0,Manitoba,0
2001,2.0,Manitoba,0
2001,3.0,Manitoba,0
2001,4.0,Manitoba,1
2001,5.0,Manitoba,3
2001,6.0,Manitoba,0
2001,7.0,Manitoba,0
2001,8.0,Manitoba,0
2001,9.0,Manitoba,1
2001,10.0,Manitoba,1
2001,11.0,Manitoba,0
2001,12.0,Manitoba,0
2002,1.0,Manitoba,0
2002,2.0,Manitoba,0
2002,3.0,Manitoba,0
2002,4.0,Manitoba,1
2002,5.0,Manitoba,4
2002,6.0,Manitoba,0
2002,7.0,Manitoba,0
2002,8.0,Manitoba,0
2002,9.0,Manitoba,0
2002,10.0,Manitoba,0
2002,11.0,Manitoba,0
2002,12.0,Manitoba,0
2003,1.0,Manitoba,0
2003,2.0,Manitoba,0
2003,3.0,Manitoba,0
2003,4.0,Manitoba,1
2003,5.0,Manitoba,0
